X,Y,OBJECTID,RTE,RTE_SFX,DIST,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_2_AXLE_PCT,TRK_3_AXLE,TRK_3_AXLE_PCT,TRK_4_AXLE,TRK_4_AXLE_PCT,TRK_5_AXLE,TRK_5_AXLE_PCT,EAL,EST_VER_YEAR,EST_VER_CODE
-117.23473018,32.8375635900001,492,5,,11,SD,R,25.947,,A,JCT. RTE. 52 EAST,170000,6970,4.1,3945,56.6,732,10.5,300,4.3,1993,28.6,937,87,V
-117.28703421,33.0482089390001,493,5,,11,SD,R,41.509,,B,ENCINITAS BOULEVARD,189000,15649,8.28,8289,52.97,1689,10.79,1369,8.75,4302,27.49,"2,131",16,E
-117.287326079,33.0482316910001,494,5,,11,SD,R,41.509,,B,ENCINITAS BOULEVARD,189000,15649,8.28,8289,52.97,1689,10.79,1369,8.75,4302,27.49,"2,131",16,E
-117.29212545,33.0651158050001,495,5,,11,SD,R,42.712,,B,LEUCADIA BOULEVARD,209000,18622,8.91,12276,65.92,987,5.3,412,2.21,4948,26.57,"2,288",20,V
-117.292406173,33.0651123430001,496,5,,11,SD,R,42.712,,B,LEUCADIA BOULEVARD,209000,18622,8.91,12276,65.92,987,5.3,412,2.21,4948,26.57,"2,288",20,V
-117.351184629,33.177086321,497,5,,11,SD,R,51.201,,B,JCT. RTE. 78 EAST,212000,10197,4.81,3997,39.2,795,7.8,398,3.9,5007,49.1,"1,999",7,V
-117.351406422,33.17694026,498,5,,11,SD,R,51.201,,B,JCT. RTE. 78 EAST,212000,10197,4.81,3997,39.2,795,7.8,398,3.9,5007,49.1,"1,999",7,V
-117.351184629,33.177086321,499,5,,11,SD,R,51.201,,A,JCT. RTE. 78 EAST,190000,9120,4.8,3575,39.2,711,7.8,356,3.9,4478,49.1,"1,788",7,E
-117.351406422,33.17694026,500,5,,11,SD,R,51.201,,A,JCT. RTE. 78 EAST,190000,9120,4.8,3575,39.2,711,7.8,356,3.9,4478,49.1,"1,788",7,E
-117.367307042,33.196529347,501,5,,11,SD,R,52.834,,O,BROOKS ST OC,160000,11488,7.18,6048,52.65,864,7.52,504,4.39,4071,35.44,"1,770",18,E
-117.367513159,33.196383768,502,5,,11,SD,R,52.834,,O,BROOKS ST OC,160000,11488,7.18,6048,52.65,864,7.52,504,4.39,4071,35.44,"1,770",18,E
-117.375334835,33.2015313810001,503,5,,11,SD,R,53.43,,A,MISSION AVENUE,153000,9149,5.98,3586,39.2,714,7.8,357,3.9,4492,49.1,"1,793",7,E
-117.375591558,33.201380784,504,5,,11,SD,R,53.43,,A,MISSION AVENUE,153000,9149,5.98,3586,39.2,714,7.8,357,3.9,4492,49.1,"1,793",7,E
-117.387142167,33.2104726250001,505,5,,11,SD,R,54.39,,A,HARBOR DRIVE/VANDERGRIFT,120000,10860,9.05,5224,48.1,620,5.71,382,3.52,4634,42.67,"1,895",19,E
-117.387325819,33.210273381,506,5,,11,SD,R,54.39,,A,HARBOR DRIVE/VANDERGRIFT,120000,10860,9.05,5224,48.1,620,5.71,382,3.52,4634,42.67,"1,895",19,E
-117.583086484,33.38562001,507,5,,11,SD,R,71.377,,B,BASILONE ROAD,136000,9833,7.23,3855,39.2,767,7.8,383,3.9,4828,49.1,"1,927",7,E
-117.583197098,33.385378126,508,5,,11,SD,R,71.377,,B,BASILONE ROAD,136000,9833,7.23,3855,39.2,767,7.8,383,3.9,4828,49.1,"1,927",7,E
-117.593629162,33.396500701,509,5,,12,ORA,,0,,A,SAN DIEGO/ORANGE COUNTY LINE,133000,9310,7,4096,44,699,7.51,298,3.2,4217,45.3,"1,706",19,E
-117.593702299,33.396231512,510,5,,12,ORA,,0,,A,SAN DIEGO/ORANGE COUNTY LINE,133000,9310,7,4096,44,699,7.51,298,3.2,4217,45.3,"1,706",19,E
-117.669764934,33.4671273330001,511,5,,12,ORA,,6.78,,B,JCT RTE 1,140200,9814,7,4294,43.75,715,7.29,307,3.13,4498,45.83,"1,813",19,E
-117.669972428,33.4669739660001,512,5,,12,ORA,,6.78,,B,JCT RTE 1,140200,9814,7,4294,43.75,715,7.29,307,3.13,4498,45.83,"1,813",19,E
-117.658373112,33.5024663450001,513,5,,12,ORA,,9.604,,B,"SAN JUAN CAPISTRANO, JCT. RTE. 74",145400,10178,7,4453,43.75,742,7.29,319,3.13,4665,45.83,"1,880",19,E
-117.658612446,33.5024290380001,514,5,,12,ORA,,9.604,,B,"SAN JUAN CAPISTRANO, JCT. RTE. 74",145400,10178,7,4453,43.75,742,7.29,319,3.13,4665,45.83,"1,880",19,E
-117.658373112,33.5024663450001,515,5,,12,ORA,,9.604,,A,"SAN JUAN CAPISTRANO, JCT. RTE. 74",162200,11354,7,4967,43.75,828,7.29,355,3.13,5204,45.83,"2,098",18,E
-117.658612446,33.5024290380001,516,5,,12,ORA,,9.604,,A,"SAN JUAN CAPISTRANO, JCT. RTE. 74",162200,11354,7,4967,43.75,828,7.29,355,3.13,5204,45.83,"2,098",18,E
-117.672884041,33.5592475230001,517,5,,12,ORA,,13.776,,A,CROWN VALLEY PARKWAY INTERCHANGE,193800,14535,7.5,6359,43.75,1060,7.29,455,3.13,6661,45.83,"2,685",19,E
-117.673146945,33.559157752,518,5,,12,ORA,,13.776,,A,CROWN VALLEY PARKWAY INTERCHANGE,193800,14535,7.5,6359,43.75,1060,7.29,455,3.13,6661,45.83,"2,685",19,E
-117.734967586,33.644691106,519,5,,12,ORA,,21.304,,B,"JCT. RTE. 405, SANTA ANA FREEWAY",208700,14609,7,6391,43.75,1065,7.29,457,3.13,6695,45.83,"2,699",19,E
-117.735420912,33.644842441,520,5,,12,ORA,,21.304,,B,"JCT. RTE. 405, SANTA ANA FREEWAY",208700,14609,7,6391,43.75,1065,7.29,457,3.13,6695,45.83,"2,699",19,E
-117.75262711,33.666916031,521,5,,12,ORA,,23.12,,B,"IRVINE, JCT. RTE. 133",186000,13020,7,5761,44.25,1273,9.78,566,4.35,5418,41.61,"2,271",19,E
-117.752586789,33.6663130420001,522,5,,12,ORA,,23.12,,B,"IRVINE, JCT. RTE. 133",186000,13020,7,5761,44.25,1273,9.78,566,4.35,5418,41.61,"2,271",19,E
-117.75262711,33.666916031,523,5,,12,ORA,,23.12,,A,"IRVINE, JCT. RTE. 133",246800,17276,7,7140,41.33,1850,10.71,907,5.25,7380,42.72,"3,100",19,E
-117.752586789,33.6663130420001,524,5,,12,ORA,,23.12,,A,"IRVINE, JCT. RTE. 133",246800,17276,7,7140,41.33,1850,10.71,907,5.25,7380,42.72,"3,100",19,E
-117.833520752,33.740670634,525,5,,12,ORA,,30.263,,B,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",269700,18879,7,8354,44.25,1846,9.78,821,4.35,7856,41.61,"3,293",19,E
-117.83351808,33.7404226790001,526,5,,12,ORA,,30.263,,B,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",269700,18879,7,8354,44.25,1846,9.78,821,4.35,7856,41.61,"3,293",19,E
-117.833520752,33.740670634,527,5,,12,ORA,,30.263,,A,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",311900,21833,7,9661,44.25,2135,9.78,950,4.35,9085,41.61,"3,809",19,E
-117.83351808,33.7404226790001,528,5,,12,ORA,,30.263,,A,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",311900,21833,7,9661,44.25,2135,9.78,950,4.35,9085,41.61,"3,809",19,E
-117.875908884,33.778769815,529,5,,12,ORA,,34,,B,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",213100,14917,7,6601,44.25,1459,9.78,649,4.35,6207,41.61,"2,602",19,E
